x,y,true_x,true_y,possiblemovescomp,possiblemoves1,possiblemoves2,possiblemoves
-3,0,-0.45,0,space,j,num_5,j;num_5
-2,-2,-0.3,-0.3,right;up;space,k;u;j,num_6;num_8;num_5,k;u;j;num_6;num_8;num_5
-2,-1,-0.3,-0.15,up;down;space,u;n;j,num_8;num_2;num_5,u;n;j;num_8;num_2;num_5
-2,0,-0.3,0,left;right;up;down;space,h;k;u;n;j,num_4;num_6;num_8;num_2;num_5,h;k;u;n;j;num_4;num_6;num_8;num_2;num_5
-2,1,-0.3,0.15,up;down;space,u;n;j,num_8;num_2;num_5,u;n;j;num_8;num_2;num_5
-2,2,-0.3,0.3,right;down;space,k;n;j,num_6;num_2;num_5,k;n;j;num_6;num_2;num_5
-1,-2,-0.15,-0.3,left;right;space,h;k;j,num_4;num_6;num_5,h;k;j;num_4;num_6;num_5
-1,0,-0.15,0,left;right;space,h;k;j,num_4;num_6;num_5,h;k;j;num_4;num_6;num_5
-1,2,-0.15,0.3,left;right;space,h;k;j,num_4;num_6;num_5,h;k;j;num_4;num_6;num_5
0,-2,0,-0.3,left;right;up;space,h;k;u;j,num_4;num_6;num_8;num_5,h;k;u;j;num_4;num_6;num_8;num_5
0,-1,0,-0.15,up;down;space,u;n;j,num_8;num_2;num_5,u;n;j;num_8;num_2;num_5
0,0,0,0,left;right;up;down;space,h;k;u;n;j,num_4;num_6;num_8;num_2;num_5,h;k;u;n;j;num_4;num_6;num_8;num_2;num_5
0,1,0,0.15,up;down;space,u;n;j,num_8;num_2;num_5,u;n;j;num_8;num_2;num_5
0,2,0,0.3,left;right;down;space,h;k;n;j,num_4;num_6;num_2;num_5,h;k;n;j;num_4;num_6;num_2;num_5
1,-2,0.15,-0.3,left;right;space,h;k;j,num_4;num_6;num_5,h;k;j;num_4;num_6;num_5
1,0,0.15,0,left;right;space,h;k;j,num_4;num_6;num_5,h;k;j;num_4;num_6;num_5
1,2,0.15,0.3,left;right;space,h;k;j,num_4;num_6;num_5,h;k;j;num_4;num_6;num_5
2,-2,0.3,-0.3,left;up;space,h;u;j,num_4;num_8;num_5,h;u;j;num_4;num_8;num_5
2,-1,0.3,-0.15,up;down;space,u;n;j,num_8;num_2;num_5,u;n;j;num_8;num_2;num_5
2,0,0.3,0,left;right;up;down;space,h;k;u;n;j,num_4;num_6;num_8;num_2;num_5,h;k;u;n;j;num_4;num_6;num_8;num_2;num_5
2,1,0.3,0.15,up;down;space,u;n;j,num_8;num_2;num_5,u;n;j;num_8;num_2;num_5
2,2,0.3,0.3,left;down;space,h;n;j,num_4;num_2;num_5,h;n;j;num_4;num_2;num_5
3,0,0.45,0,space,j,num_5,j;num_5
